month,region,country,no_of_visitor_arrivals,year
10,Asia,Saudi Arabia,902,2010
10,Asia,Kuwait,380,2010
10,Asia,United Arab Emirates,3683,2010
10,Europe,United Kingdom,37576,2010
10,Europe,Germany,18241,2010
10,Europe,France,10062,2010
10,Europe,Italy,3328,2010
10,Europe,Netherlands,6352,2010
10,Europe,Greece,687,2010
10,Europe,Belgium-luxembourg,1977,2010
10,Europe,Switzerland,7045,2010
10,Europe,Austria,1823,2010
10,Europe,Scandinavia,7963,2010
10,Europe,CIS & Eastern Europe,9882,2010
10,Americas,USA,36707,2010
10,Americas,Canada,6161,2010
10,Oceania,Australia,77097,2010
10,Oceania,New Zealand,8799,2010
11,Asia,Brunei,4673,2010
11,Asia,Indonesia,176118,2010
11,Asia,Malaysia,99975,2010
11,Asia,Philippines,50094,2010
11,Asia,Thailand,30197,2010
11,Asia,Vietnam,21246,2010
11,Asia,Myanmar,5953,2010
11,Asia,Japan,51542,2010
11,Asia,Hong Kong,29852,2010
11,Asia,"China, People's Republic Of",94035,2010
11,Asia,Taiwan,13133,2010
11,Asia,"Korea, Republic Of",27814,2010
11,Asia,India,72920,2010
11,Asia,Pakistan,1401,2010
11,Asia,"Sri Lanka, Republic Of",5786,2010
11,Asia,Saudi Arabia,1554,2010
11,Asia,Kuwait,723,2010
11,Asia,United Arab Emirates,5729,2010
11,Europe,United Kingdom,43246,2010
11,Europe,Germany,22283,2010
11,Europe,France,11753,2010
11,Europe,Italy,4394,2010
11,Europe,Netherlands,6077,2010
11,Europe,Greece,562,2010
11,Europe,Belgium-luxembourg,2168,2010
11,Europe,Switzerland,7086,2010
11,Europe,Austria,2162,2010
11,Europe,Scandinavia,8458,2010
11,Europe,CIS & Eastern Europe,10795,2010
11,Americas,USA,34324,2010
11,Americas,Canada,6485,2010
11,Oceania,Australia,64152,2010
11,Oceania,New Zealand,7245,2010
12,Asia,Brunei,9516,2010
12,Asia,Indonesia,262235,2010
12,Asia,Malaysia,129821,2010
12,Asia,Philippines,55518,2010
12,Asia,Thailand,39250,2010
12,Asia,Vietnam,26550,2010
12,Asia,Myanmar,8277,2010
12,Asia,Japan,48844,2010
12,Asia,Hong Kong,32636,2010
12,Asia,"China, People's Republic Of",99578,2010
12,Asia,Taiwan,12186,2010
12,Asia,"Korea, Republic Of",25255,2010
12,Asia,India,73532,2010
12,Asia,Pakistan,1777,2010
12,Asia,"Sri Lanka, Republic Of",10477,2010
12,Asia,Saudi Arabia,793,2010
12,Asia,Kuwait,403,2010
12,Asia,United Arab Emirates,4513,2010
12,Europe,United Kingdom,39557,2010
12,Europe,Germany,17552,2010
12,Europe,France,10578,2010
12,Europe,Italy,4177,2010
12,Europe,Netherlands,5969,2010
12,Europe,Greece,717,2010
12,Europe,Belgium-luxembourg,1958,2010
12,Europe,Switzerland,5891,2010
12,Europe,Austria,1474,2010
12,Europe,Scandinavia,8375,2010
12,Europe,CIS & Eastern Europe,11522,2010
12,Americas,USA,34346,2010
12,Americas,Canada,7624,2010
12,Oceania,Australia,86705,2010
12,Oceania,New Zealand,7418,2010
1,Asia,Brunei,4547,2011
1,Asia,Indonesia,208232,2011
1,Asia,Malaysia,78342,2011
1,Asia,Philippines,43339,2011
1,Asia,Thailand,33230,2011
1,Asia,Vietnam,19704,2011
1,Asia,Myanmar,6457,2011
1,Asia,Japan,48799,2011
1,Asia,Hong Kong,29322,2011
1,Asia,"China, People's Republic Of",132040,2011
1,Asia,Taiwan,18218,2011
1,Asia,"Korea, Republic Of",41070,2011
1,Asia,India,63078,2011
1,Asia,Pakistan,1572,2011
1,Asia,"Sri Lanka, Republic Of",5721,2011
1,Asia,Saudi Arabia,849,2011
1,Asia,Kuwait,455,2011
1,Asia,United Arab Emirates,3992,2011
1,Europe,United Kingdom,41408,2011
1,Europe,Germany,19862,2011
1,Europe,France,10957,2011
1,Europe,Italy,5048,2011
1,Europe,Netherlands,6722,2011
1,Europe,Greece,749,2011
1,Europe,Belgium-luxembourg,2059,2011
1,Europe,Switzerland,6859,2011
1,Europe,Austria,1878,2011
1,Europe,Scandinavia,10758,2011
1,Europe,CIS & Eastern Europe,17367,2011
1,Americas,USA,38267,2011
1,Americas,Canada,7897,2011
1,Oceania,Australia,98023,2011
1,Oceania,New Zealand,8102,2011
2,Asia,Brunei,3890,2011
2,Asia,Indonesia,177003,2011
2,Asia,Malaysia,81747,2011
2,Asia,Philippines,48107,2011
2,Asia,Thailand,31019,2011
2,Asia,Vietnam,26850,2011
2,Asia,Myanmar,5897,2011
2,Asia,Japan,58190,2011
2,Asia,Hong Kong,38190,2011
2,Asia,"China, People's Republic Of",149941,2011
2,Asia,Taiwan,19139,2011
2,Asia,"Korea, Republic Of",36810,2011
2,Asia,India,50696,2011
2,Asia,Pakistan,1161,2011
2,Asia,"Sri Lanka, Republic Of",5908,2011
2,Asia,Saudi Arabia,1208,2011
2,Asia,Kuwait,631,2011
2,Asia,United Arab Emirates,3429,2011
2,Europe,United Kingdom,41665,2011
2,Europe,Germany,19290,2011
2,Europe,France,10755,2011
2,Europe,Italy,3518,2011
2,Europe,Netherlands,6229,2011
2,Europe,Greece,524,2011
2,Europe,Belgium-luxembourg,1755,2011
2,Europe,Switzerland,6551,2011
2,Europe,Austria,1882,2011
2,Europe,Scandinavia,9967,2011
2,Europe,CIS & Eastern Europe,10206,2011
2,Americas,USA,33944,2011
2,Americas,Canada,6898,2011
2,Oceania,Australia,58135,2011
2,Oceania,New Zealand,4287,2011
3,Asia,Brunei,5795,2011
3,Asia,Indonesia,191842,2011
3,Asia,Malaysia,96418,2011
3,Asia,Philippines,59922,2011
3,Asia,Thailand,45728,2011
3,Asia,Vietnam,23756,2011
3,Asia,Myanmar,8466,2011
3,Asia,Japan,59999,2011
3,Asia,Hong Kong,32721,2011
3,Asia,"China, People's Republic Of",129749,2011
3,Asia,Taiwan,15222,2011
3,Asia,"Korea, Republic Of",29619,2011
3,Asia,India,57601,2011
3,Asia,Pakistan,1361,2011
3,Asia,"Sri Lanka, Republic Of",5635,2011
3,Asia,Saudi Arabia,792,2011
3,Asia,Kuwait,392,2011
3,Asia,United Arab Emirates,4654,2011
3,Europe,United Kingdom,49753,2011
3,Europe,Germany,23715,2011
3,Europe,France,12342,2011
3,Europe,Italy,5155,2011
3,Europe,Netherlands,7100,2011
3,Europe,Greece,735,2011
3,Europe,Belgium-luxembourg,2452,2011
3,Europe,Switzerland,7002,2011
3,Europe,Austria,1839,2011
3,Europe,Scandinavia,9338,2011
3,Europe,CIS & Eastern Europe,12266,2011
3,Americas,USA,43236,2011
3,Americas,Canada,9415,2011
3,Oceania,Australia,65885,2011
3,Oceania,New Zealand,6939,2011
4,Asia,Brunei,3747,2011
4,Asia,Indonesia,194335,2011
4,Asia,Malaysia,87230,2011
4,Asia,Philippines,76197,2011
4,Asia,Thailand,55662,2011
4,Asia,Vietnam,24152,2011
4,Asia,Myanmar,11168,2011
4,Asia,Japan,38311,2011
4,Asia,Hong Kong,52413,2011
4,Asia,"China, People's Republic Of",131797,2011
4,Asia,Taiwan,18828,2011
4,Asia,"Korea, Republic Of",28004,2011
4,Asia,India,74097,2011
4,Asia,Pakistan,1490,2011
4,Asia,"Sri Lanka, Republic Of",9706,2011
4,Asia,Saudi Arabia,1231,2011
4,Asia,Kuwait,342,2011
4,Asia,United Arab Emirates,4447,2011
4,Europe,United Kingdom,44966,2011
4,Europe,Germany,18274,2011
4,Europe,France,11852,2011
4,Europe,Italy,3583,2011
4,Europe,Netherlands,5949,2011
4,Europe,Greece,532,2011
4,Europe,Belgium-luxembourg,2198,2011
4,Europe,Switzerland,7598,2011
4,Europe,Austria,1555,2011
4,Europe,Scandinavia,8516,2011
4,Europe,CIS & Eastern Europe,8412,2011
4,Americas,USA,34124,2011
4,Americas,Canada,7163,2011
4,Oceania,Australia,85297,2011
4,Oceania,New Zealand,11322,2011
5,Asia,Brunei,4007,2011
5,Asia,Indonesia,199881,2011
5,Asia,Malaysia,90528,2011
5,Asia,Philippines,72488,2011
5,Asia,Thailand,44274,2011
5,Asia,Vietnam,24500,2011
5,Asia,Myanmar,7893,2011
5,Asia,Japan,41594,2011
5,Asia,Hong Kong,37886,2011
5,Asia,"China, People's Republic Of",110920,2011
5,Asia,Taiwan,18758,2011
5,Asia,"Korea, Republic Of",33736,2011
5,Asia,India,114316,2011
5,Asia,Pakistan,1653,2011
5,Asia,"Sri Lanka, Republic Of",5744,2011
5,Asia,Saudi Arabia,936,2011
5,Asia,Kuwait,378,2011
5,Asia,United Arab Emirates,4179,2011
5,Europe,United Kingdom,28282,2011
5,Europe,Germany,12628,2011
5,Europe,France,10086,2011
5,Europe,Italy,3499,2011
5,Europe,Netherlands,5445,2011
5,Europe,Greece,511,2011
5,Europe,Belgium-luxembourg,1623,2011
5,Europe,Switzerland,5333,2011
5,Europe,Austria,1205,2011
5,Europe,Scandinavia,5117,2011
5,Europe,CIS & Eastern Europe,7334,2011
5,Americas,USA,34105,2011
5,Americas,Canada,6116,2011
5,Oceania,Australia,72365,2011
5,Oceania,New Zealand,12893,2011
6,Asia,Brunei,6510,2011
6,Asia,Indonesia,253383,2011
6,Asia,Malaysia,97856,2011
6,Asia,Philippines,52257,2011
6,Asia,Thailand,32783,2011
6,Asia,Vietnam,36751,2011
6,Asia,Myanmar,7571,2011
6,Asia,Japan,38061,2011
6,Asia,Hong Kong,37962,2011
6,Asia,"China, People's Republic Of",103335,2011
6,Asia,Taiwan,20445,2011
6,Asia,"Korea, Republic Of",34233,2011
6,Asia,India,90742,2011
6,Asia,Pakistan,2740,2011
6,Asia,"Sri Lanka, Republic Of",5296,2011
6,Asia,Saudi Arabia,1512,2011
6,Asia,Kuwait,862,2011
6,Asia,United Arab Emirates,5064,2011
6,Europe,United Kingdom,24462,2011
6,Europe,Germany,12094,2011
6,Europe,France,7990,2011
6,Europe,Italy,3099,2011
6,Europe,Netherlands,4924,2011
6,Europe,Greece,446,2011
6,Europe,Belgium-luxembourg,1498,2011
6,Europe,Switzerland,4497,2011
6,Europe,Austria,1010,2011
6,Europe,Scandinavia,5851,2011
6,Europe,CIS & Eastern Europe,7051,2011
6,Americas,USA,39712,2011
6,Americas,Canada,5125,2011
6,Oceania,Australia,84371,2011
6,Oceania,New Zealand,12891,2011
7,Asia,Brunei,5522,2011
7,Asia,Indonesia,251419,2011
7,Asia,Malaysia,90175,2011
7,Asia,Philippines,50938,2011
7,Asia,Thailand,40848,2011
7,Asia,Vietnam,45542,2011
7,Asia,Myanmar,9196,2011
7,Asia,Japan,55479,2011
7,Asia,Hong Kong,56960,2011
7,Asia,"China, People's Republic Of",183862,2011
7,Asia,Taiwan,33454,2011
7,Asia,"Korea, Republic Of",40587,2011
7,Asia,India,71209,2011
7,Asia,Pakistan,3568,2011
7,Asia,"Sri Lanka, Republic Of",7585,2011
7,Asia,Saudi Arabia,3696,2011
7,Asia,Kuwait,2404,2011
7,Asia,United Arab Emirates,9149,2011
7,Europe,United Kingdom,30659,2011
7,Europe,Germany,15675,2011
7,Europe,France,13943,2011
7,Europe,Italy,4151,2011
7,Europe,Netherlands,9682,2011
7,Europe,Greece,555,2011
7,Europe,Belgium-luxembourg,2683,2011
7,Europe,Switzerland,7318,2011
7,Europe,Austria,1779,2011
7,Europe,Scandinavia,8720,2011
7,Europe,CIS & Eastern Europe,9216,2011
7,Americas,USA,43187,2011
7,Americas,Canada,7098,2011
7,Oceania,Australia,94690,2011
7,Oceania,New Zealand,15973,2011
8,Asia,Brunei,4556,2011
8,Asia,Indonesia,228209,2011
8,Asia,Malaysia,91344,2011
8,Asia,Philippines,49558,2011
8,Asia,Thailand,34385,2011
8,Asia,Vietnam,30612,2011
8,Asia,Myanmar,7256,2011
8,Asia,Japan,72034,2011
8,Asia,Hong Kong,49034,2011
8,Asia,"China, People's Republic Of",183890,2011
8,Asia,Taiwan,26574,2011
8,Asia,"Korea, Republic Of",44364,2011
8,Asia,India,60926,2011
8,Asia,Pakistan,1154,2011
8,Asia,"Sri Lanka, Republic Of",7586,2011
8,Asia,Saudi Arabia,1056,2011
8,Asia,Kuwait,580,2011
8,Asia,United Arab Emirates,6637,2011
8,Europe,United Kingdom,34967,2011
8,Europe,Germany,18141,2011
8,Europe,France,17520,2011
8,Europe,Italy,8242,2011
8,Europe,Netherlands,8909,2011
8,Europe,Greece,648,2011
8,Europe,Belgium-luxembourg,2464,2011
8,Europe,Switzerland,6090,2011
8,Europe,Austria,1913,2011
8,Europe,Scandinavia,5226,2011
8,Europe,CIS & Eastern Europe,9100,2011
8,Americas,USA,34221,2011
8,Americas,Canada,6399,2011
8,Oceania,Australia,71953,2011
8,Oceania,New Zealand,11612,2011
9,Asia,Brunei,3910,2011
9,Asia,Indonesia,221319,2011
9,Asia,Malaysia,103060,2011
9,Asia,Philippines,51859,2011
9,Asia,Thailand,33009,2011
9,Asia,Vietnam,26678,2011
9,Asia,Myanmar,6966,2011
9,Asia,Japan,62395,2011
9,Asia,Hong Kong,31113,2011
9,Asia,"China, People's Republic Of",104211,2011
9,Asia,Taiwan,19057,2011
9,Asia,"Korea, Republic Of",30112,2011
9,Asia,India,58309,2011
9,Asia,Pakistan,1319,2011
9,Asia,"Sri Lanka, Republic Of",6394,2011
9,Asia,Saudi Arabia,1545,2011
9,Asia,Kuwait,710,2011
9,Asia,United Arab Emirates,4660,2011
9,Europe,United Kingdom,33956,2011
9,Europe,Germany,17400,2011
9,Europe,France,10434,2011
9,Europe,Italy,3867,2011
9,Europe,Netherlands,6318,2011
9,Europe,Greece,494,2011
9,Europe,Belgium-luxembourg,1819,2011
9,Europe,Switzerland,5725,2011
9,Europe,Austria,1582,2011
9,Europe,Scandinavia,5524,2011
9,Europe,CIS & Eastern Europe,9089,2011
9,Americas,USA,29821,2011
9,Americas,Canada,4554,2011
9,Oceania,Australia,86076,2011
9,Oceania,New Zealand,9698,2011
10,Asia,Brunei,4238,2011
10,Asia,Indonesia,193879,2011
10,Asia,Malaysia,88770,2011
10,Asia,Philippines,63218,2011
10,Asia,Thailand,53133,2011
10,Asia,Vietnam,23285,2011
10,Asia,Myanmar,7624,2011
10,Asia,Japan,57677,2011
10,Asia,Hong Kong,31027,2011
10,Asia,"China, People's Republic Of",133563,2011
10,Asia,Taiwan,17775,2011
10,Asia,"Korea, Republic Of",33594,2011
10,Asia,India,77196,2011
10,Asia,Pakistan,1574,2011
10,Asia,"Sri Lanka, Republic Of",6469,2011
10,Asia,Saudi Arabia,1142,2011
10,Asia,Kuwait,361,2011
10,Asia,United Arab Emirates,3710,2011
10,Europe,United Kingdom,36362,2011
10,Europe,Germany,18938,2011
10,Europe,France,11204,2011
10,Europe,Italy,3767,2011
10,Europe,Netherlands,7112,2011
10,Europe,Greece,578,2011
10,Europe,Belgium-luxembourg,2222,2011
10,Europe,Switzerland,7596,2011
10,Europe,Austria,1716,2011
10,Europe,Scandinavia,8136,2011
10,Europe,CIS & Eastern Europe,10648,2011
10,Americas,USA,36840,2011
10,Americas,Canada,6814,2011
10,Oceania,Australia,84509,2011
10,Oceania,New Zealand,9876,2011
11,Asia,Brunei,5139,2011
11,Asia,Indonesia,188488,2011
11,Asia,Malaysia,104972,2011
11,Asia,Philippines,52726,2011
11,Asia,Thailand,29299,2011
11,Asia,Vietnam,23406,2011
11,Asia,Myanmar,7096,2011
11,Asia,Japan,61293,2011
11,Asia,Hong Kong,31543,2011
11,Asia,"China, People's Republic Of",100824,2011
11,Asia,Taiwan,15865,2011
11,Asia,"Korea, Republic Of",33145,2011
11,Asia,India,72387,2011
11,Asia,Pakistan,1486,2011
11,Asia,"Sri Lanka, Republic Of",6560,2011
11,Asia,Saudi Arabia,1907,2011
11,Asia,Kuwait,668,2011
11,Asia,United Arab Emirates,6958,2011
11,Europe,United Kingdom,39074,2011
11,Europe,Germany,22487,2011
11,Europe,France,11166,2011
11,Europe,Italy,4718,2011
11,Europe,Netherlands,6532,2011
11,Europe,Greece,591,2011
11,Europe,Belgium-luxembourg,2181,2011
11,Europe,Switzerland,7767,2011
11,Europe,Austria,1901,2011
11,Europe,Scandinavia,9603,2011
11,Europe,CIS & Eastern Europe,13028,2011
11,Americas,USA,36701,2011
11,Americas,Canada,7843,2011
11,Oceania,Australia,70012,2011
11,Oceania,New Zealand,8888,2011
12,Asia,Brunei,10382,2011
12,Asia,Indonesia,284232,2011
12,Asia,Malaysia,130493,2011
12,Asia,Philippines,57114,2011
12,Asia,Thailand,39338,2011
12,Asia,Vietnam,26995,2011
12,Asia,Myanmar,8594,2011
12,Asia,Japan,62585,2011
12,Asia,Hong Kong,36204,2011
12,Asia,"China, People's Republic Of",113390,2011
12,Asia,Taiwan,15153,2011
12,Asia,"Korea, Republic Of",29605,2011
12,Asia,India,78434,2011
12,Asia,Pakistan,1850,2011
12,Asia,"Sri Lanka, Republic Of",11387,2011
12,Asia,Saudi Arabia,1167,2011
12,Asia,Kuwait,495,2011
12,Asia,United Arab Emirates,5857,2011
12,Europe,United Kingdom,37057,2011
12,Europe,Germany,21448,2011
12,Europe,France,12050,2011
12,Europe,Italy,4873,2011
12,Europe,Netherlands,6168,2011
12,Europe,Greece,767,2011
12,Europe,Belgium-luxembourg,2025,2011
12,Europe,Switzerland,6687,2011
12,Europe,Austria,1629,2011
12,Europe,Scandinavia,10263,2011
12,Europe,CIS & Eastern Europe,14209,2011
12,Americas,USA,36418,2011
12,Americas,Canada,7610,2011
12,Oceania,Australia,84723,2011
12,Oceania,New Zealand,10514,2011
1,Asia,Brunei,4862,2012
1,Asia,Indonesia,230500,2012
1,Asia,Malaysia,88970,2012
1,Asia,Philippines,42248,2012
1,Asia,Thailand,28725,2012
1,Asia,Vietnam,27160,2012
1,Asia,Myanmar,6710,2012
1,Asia,Japan,50672,2012
1,Asia,Hong Kong,39000,2012
1,Asia,"China, People's Republic Of",201742,2012
1,Asia,Taiwan,27457,2012
1,Asia,"Korea, Republic Of",45933,2012
1,Asia,India,57265,2012
1,Asia,Pakistan,1496,2012
1,Asia,"Sri Lanka, Republic Of",5407,2012
1,Asia,Saudi Arabia,1664,2012
1,Asia,Kuwait,483,2012
1,Asia,United Arab Emirates,3990,2012
1,Europe,United Kingdom,40128,2012
1,Europe,Germany,26463,2012
1,Europe,France,10939,2012
1,Europe,Italy,5443,2012
1,Europe,Netherlands,7082,2012
1,Europe,Greece,786,2012
1,Europe,Belgium-luxembourg,2153,2012
1,Europe,Switzerland,7253,2012
1,Europe,Austria,2210,2012
1,Europe,Scandinavia,12170,2012
1,Europe,CIS & Eastern Europe,23119,2012
1,Americas,USA,38922,2012
1,Americas,Canada,8495,2012
1,Oceania,Australia,94946,2012
1,Oceania,New Zealand,11207,2012
2,Asia,Brunei,4782,2012
2,Asia,Indonesia,211738,2012
2,Asia,Malaysia,88451,2012
2,Asia,Philippines,50931,2012
2,Asia,Thailand,33176,2012
2,Asia,Vietnam,26059,2012
2,Asia,Myanmar,7038,2012
2,Asia,Japan,67306,2012
2,Asia,Hong Kong,30416,2012
2,Asia,"China, People's Republic Of",158002,2012
2,Asia,Taiwan,27260,2012
2,Asia,"Korea, Republic Of",45397,2012
2,Asia,India,61815,2012
2,Asia,Pakistan,1405,2012
2,Asia,"Sri Lanka, Republic Of",6251,2012
2,Asia,Saudi Arabia,975,2012
2,Asia,Kuwait,655,2012
2,Asia,United Arab Emirates,4211,2012
2,Europe,United Kingdom,47132,2012
2,Europe,Germany,27868,2012
2,Europe,France,14493,2012
2,Europe,Italy,5314,2012
2,Europe,Netherlands,7351,2012
2,Europe,Greece,802,2012
2,Europe,Belgium-luxembourg,2392,2012
2,Europe,Switzerland,7709,2012
2,Europe,Austria,2803,2012
2,Europe,Scandinavia,14266,2012
2,Europe,CIS & Eastern Europe,16532,2012
2,Americas,USA,41970,2012
2,Americas,Canada,8303,2012
2,Oceania,Australia,63878,2012
2,Oceania,New Zealand,6613,2012
3,Asia,Brunei,6942,2012
3,Asia,Indonesia,227695,2012
3,Asia,Malaysia,108054,2012
3,Asia,Philippines,58682,2012
3,Asia,Thailand,43230,2012
3,Asia,Vietnam,28214,2012
3,Asia,Myanmar,8197,2012
3,Asia,Japan,74995,2012
3,Asia,Hong Kong,35154,2012
3,Asia,"China, People's Republic Of",182348,2012
3,Asia,Taiwan,21401,2012
3,Asia,"Korea, Republic Of",34077,2012
3,Asia,India,65547,2012
3,Asia,Pakistan,1492,2012
3,Asia,"Sri Lanka, Republic Of",5286,2012
3,Asia,Saudi Arabia,1244,2012
3,Asia,Kuwait,340,2012
3,Asia,United Arab Emirates,6088,2012
3,Europe,United Kingdom,52109,2012
3,Europe,Germany,30111,2012
3,Europe,France,14253,2012
3,Europe,Italy,6122,2012
3,Europe,Netherlands,7163,2012
3,Europe,Greece,724,2012
3,Europe,Belgium-luxembourg,2610,2012
3,Europe,Switzerland,7958,2012
3,Europe,Austria,2305,2012
3,Europe,Scandinavia,13311,2012
3,Europe,CIS & Eastern Europe,15765,2012
3,Americas,USA,45720,2012
3,Americas,Canada,9930,2012
3,Oceania,Australia,70960,2012
3,Oceania,New Zealand,7469,2012
4,Asia,Brunei,4472,2012
4,Asia,Indonesia,214289,2012
4,Asia,Malaysia,96892,2012
4,Asia,Philippines,75052,2012
4,Asia,Thailand,56217,2012
4,Asia,Vietnam,29837,2012
4,Asia,Myanmar,12114,2012
4,Asia,Japan,49203,2012
4,Asia,Hong Kong,47141,2012
4,Asia,"China, People's Republic Of",173543,2012
4,Asia,Taiwan,22999,2012
4,Asia,"Korea, Republic Of",31252,2012
4,Asia,India,76035,2012
4,Asia,Pakistan,1294,2012
4,Asia,"Sri Lanka, Republic Of",10243,2012
4,Asia,Saudi Arabia,1029,2012
4,Asia,Kuwait,389,2012
4,Asia,United Arab Emirates,5282,2012
4,Europe,United Kingdom,38477,2012
4,Europe,Germany,19375,2012
4,Europe,France,14517,2012
4,Europe,Italy,4848,2012
4,Europe,Netherlands,5609,2012
4,Europe,Greece,660,2012
4,Europe,Belgium-luxembourg,2637,2012
4,Europe,Switzerland,7726,2012
4,Europe,Austria,1829,2012
4,Europe,Scandinavia,9551,2012
4,Europe,CIS & Eastern Europe,11277,2012
4,Americas,USA,35169,2012
4,Americas,Canada,7294,2012
4,Oceania,Australia,81927,2012
4,Oceania,New Zealand,9881,2012
5,Asia,Brunei,4649,2012
5,Asia,Indonesia,228359,2012
5,Asia,Malaysia,99568,2012
5,Asia,Philippines,72484,2012
5,Asia,Thailand,42583,2012
5,Asia,Vietnam,30562,2012
5,Asia,Myanmar,8984,2012
5,Asia,Japan,50006,2012
5,Asia,Hong Kong,33091,2012
5,Asia,"China, People's Republic Of",139946,2012
5,Asia,Taiwan,20607,2012
5,Asia,"Korea, Republic Of",33018,2012
5,Asia,India,124147,2012
5,Asia,Pakistan,1489,2012
5,Asia,"Sri Lanka, Republic Of",5346,2012
5,Asia,Saudi Arabia,874,2012
5,Asia,Kuwait,318,2012
5,Asia,United Arab Emirates,4312,2012
5,Europe,United Kingdom,26725,2012
5,Europe,Germany,14377,2012
5,Europe,France,10902,2012
5,Europe,Italy,3639,2012
5,Europe,Netherlands,5329,2012
5,Europe,Greece,627,2012
5,Europe,Belgium-luxembourg,1661,2012
5,Europe,Switzerland,5467,2012
5,Europe,Austria,1338,2012
5,Europe,Scandinavia,5527,2012
5,Europe,CIS & Eastern Europe,8702,2012
5,Americas,USA,36739,2012
5,Americas,Canada,6166,2012
5,Oceania,Australia,72641,2012
5,Oceania,New Zealand,10137,2012
6,Asia,Brunei,6980,2012
6,Asia,Indonesia,253510,2012
6,Asia,Malaysia,107356,2012
6,Asia,Philippines,49957,2012
6,Asia,Thailand,34526,2012
6,Asia,Vietnam,39560,2012
6,Asia,Myanmar,7397,2012
6,Asia,Japan,52387,2012
6,Asia,Hong Kong,36897,2012
6,Asia,"China, People's Republic Of",122630,2012
6,Asia,Taiwan,21006,2012
6,Asia,"Korea, Republic Of",34394,2012
6,Asia,India,93694,2012
6,Asia,Pakistan,3119,2012
6,Asia,"Sri Lanka, Republic Of",6040,2012
6,Asia,Saudi Arabia,2519,2012
6,Asia,Kuwait,979,2012
6,Asia,United Arab Emirates,5716,2012
6,Europe,United Kingdom,25647,2012
6,Europe,Germany,13106,2012
6,Europe,France,9301,2012
6,Europe,Italy,3668,2012
6,Europe,Netherlands,5194,2012
6,Europe,Greece,571,2012
6,Europe,Belgium-luxembourg,1669,2012
6,Europe,Switzerland,4657,2012
6,Europe,Austria,1217,2012
6,Europe,Scandinavia,6350,2012
6,Europe,CIS & Eastern Europe,8144,2012
6,Americas,USA,43468,2012
6,Americas,Canada,5356,2012
6,Oceania,Australia,92951,2012
6,Oceania,New Zealand,12021,2012
7,Asia,Brunei,5485,2012
7,Asia,Indonesia,246772,2012
7,Asia,Malaysia,90449,2012
7,Asia,Philippines,45249,2012
7,Asia,Thailand,34542,2012
7,Asia,Vietnam,46521,2012
7,Asia,Myanmar,7699,2012
7,Asia,Japan,61139,2012
7,Asia,Hong Kong,50113,2012
7,Asia,"China, People's Republic Of",201652,2012
7,Asia,Taiwan,33511,2012
7,Asia,"Korea, Republic Of",42524,2012
7,Asia,India,68749,2012
7,Asia,Pakistan,3327,2012
7,Asia,"Sri Lanka, Republic Of",5847,2012
7,Asia,Saudi Arabia,2176,2012
7,Asia,Kuwait,965,2012
7,Asia,United Arab Emirates,7448,2012
7,Europe,United Kingdom,31195,2012
7,Europe,Germany,17784,2012
7,Europe,France,15402,2012
7,Europe,Italy,5403,2012
7,Europe,Netherlands,9847,2012
7,Europe,Greece,670,2012
7,Europe,Belgium-luxembourg,2884,2012
7,Europe,Switzerland,8219,2012
7,Europe,Austria,2095,2012
7,Europe,Scandinavia,9376,2012
7,Europe,CIS & Eastern Europe,9762,2012
7,Americas,USA,44265,2012
7,Americas,Canada,7346,2012
7,Oceania,Australia,105570,2012
7,Oceania,New Zealand,13772,2012
8,Asia,Brunei,5860,2012
8,Asia,Indonesia,276938,2012
8,Asia,Malaysia,107841,2012
8,Asia,Philippines,45775,2012
8,Asia,Thailand,38137,2012
8,Asia,Vietnam,33230,2012
8,Asia,Myanmar,6527,2012
8,Asia,Japan,82747,2012
8,Asia,Hong Kong,48138,2012
8,Asia,"China, People's Republic Of",206734,2012
8,Asia,Taiwan,27903,2012
8,Asia,"Korea, Republic Of",47383,2012
8,Asia,India,63579,2012
8,Asia,Pakistan,1394,2012
8,Asia,"Sri Lanka, Republic Of",7979,2012
8,Asia,Saudi Arabia,1785,2012
8,Asia,Kuwait,1231,2012
8,Asia,United Arab Emirates,8068,2012
8,Europe,United Kingdom,34338,2012
8,Europe,Germany,20355,2012
8,Europe,France,20864,2012
8,Europe,Italy,11397,2012
8,Europe,Netherlands,8361,2012
8,Europe,Greece,755,2012
8,Europe,Belgium-luxembourg,2692,2012
8,Europe,Switzerland,6816,2012
8,Europe,Austria,2145,2012
8,Europe,Scandinavia,5639,2012
8,Europe,CIS & Eastern Europe,9927,2012
8,Americas,USA,36979,2012
8,Americas,Canada,6454,2012
8,Oceania,Australia,79292,2012
8,Oceania,New Zealand,10901,2012
9,Asia,Brunei,4106,2012
9,Asia,Indonesia,195481,2012
9,Asia,Malaysia,90484,2012
9,Asia,Philippines,46880,2012
9,Asia,Thailand,34926,2012
9,Asia,Vietnam,25917,2012
9,Asia,Myanmar,6502,2012
9,Asia,Japan,65991,2012
9,Asia,Hong Kong,34584,2012
9,Asia,"China, People's Republic Of",128830,2012
9,Asia,Taiwan,18385,2012
9,Asia,"Korea, Republic Of",31247,2012
9,Asia,India,58748,2012
9,Asia,Pakistan,1710,2012
9,Asia,"Sri Lanka, Republic Of",6398,2012
9,Asia,Saudi Arabia,1080,2012
9,Asia,Kuwait,597,2012
9,Asia,United Arab Emirates,4588,2012
